id,scene_id,type,speaker,contents
1,1,scene,,青い空、街の雑踏
2,1,scene,,カメラが空から下におり、ビルの横を歩く雑踏を映す
3,1,scene,,三上悟が街を歩いている
4,1,scene,,三上悟が街を見廻す
5,1,dialogue,三上,心の声（平和だな）
6,1,scene,,横断歩道で信号を待つ
7,1,dialogue,三上,（なんということもない、普通の人生）
8,1,scene,,横断歩道を歩きながら考える
9,1,dialogue,三上,（大学を出て一応大手と言われる）
10,1,dialogue,三上,（ゼネコンに入社し、それなりに出世し）
